id,"schwerpunkt"
1,"Erlernbarkeit"
2,"Dialoggestaltung"
3,"Informationspräsentation"
4,"Accessibility"
5,"Joy of Use"
6,"Zielgruppendefinition"
7,"Mitbewerber"
8,"Anforderungsdefinition"
9,"gesamthaft untersucht werden"
